percent_F,percent_M,qtd_F,qtd_M,qtd_forma_ingresso
18.27956989247312,81.72043010752688,17,76,93
19.29824561403509,80.70175438596492,22,92,114
10.899182561307901,89.1008174386921,40,327,367
25.813061524720222,74.18693847527977,4913,14120,19033
22.643869891576312,77.35613010842368,1086,3710,4796
52.09580838323353,47.90419161676647,261,240,501
54.54545454545455,45.45454545454545,42,35,77
33.13875168387966,66.86124831612034,738,1489,2227
26.952141057934508,73.04785894206549,214,580,794
51.42378559463987,48.57621440536013,614,580,1194
63.605442176870746,36.394557823129254,187,107,294
15.875912408759124,84.12408759124088,87,461,548
19.753086419753085,80.24691358024691,16,65,81
8.273381294964029,91.72661870503597,23,255,278
34.50704225352113,65.49295774647888,98,186,284
38.333333333333336,61.666666666666664,23,37,60
33.40494092373792,66.59505907626209,622,1240,1862
36.34686346863469,63.65313653136531,197,345,542
16.216216216216218,83.78378378378379,24,124,148
17.5,82.5,35,165,200
7.352941176470588,92.6470588235294,5,63,68
12.389380530973451,87.61061946902655,28,198,226
21.818181818181817,78.18181818181819,12,43,55
18.596881959910913,81.40311804008908,334,1462,1796
12.073490813648293,87.92650918635171,92,670,762
14.814814814814815,85.18518518518519,36,207,243
26.470588235294116,73.52941176470588,18,50,68
17.178612059158134,82.82138794084186,151,728,879
14.953271028037383,85.04672897196262,16,91,107
7.530120481927711,92.46987951807229,25,307,332
0.0,100.0,0,1,1
45.89937973811165,54.10062026188835,666,785,1451
42.589118198874296,57.410881801125704,227,306,533
50.073421439060205,49.926578560939795,682,680,1362
49.90403071017275,50.09596928982725,260,261,521
13.572234762979685,86.42776523702031,481,3063,3544
9.75609756097561,90.2439024390244,16,148,164
